Weight Name                                                   | Shape
model.layers.3.mlp.experts.{...}.down_proj.weight_scale_inv       | torch.Size([56, 16])
model.layers.3.mlp.experts.{...}.gate_proj.weight                 | torch.Size([2048, 7168])
model.layers.3.mlp.experts.{...}.gate_proj.weight_scale_inv       | torch.Size([16, 56])
model.layers.3.mlp.experts.{...}.up_proj.weight                   | torch.Size([2048, 7168])
model.layers.3.mlp.experts.{...}.up_proj.weight_scale_inv         | torch.Size([16, 56])
model.layers.3.mlp.experts.254.down_proj.weight               | torch.Size([7168, 2048])
model.layers.3.mlp.experts.254.down_proj.weight_scale_inv     | torch.Size([56, 16])
model.layers.3.mlp.experts.254.gate_proj.weight               | torch.Size([2048, 7168])
model.layers.3.mlp.experts.254.gate_proj.weight_scale_inv     | torch.Size([16, 56])
model.layers.3.mlp.experts.254.up_proj.weight                 | torch.Size([2048, 7168])
model.layers.3.mlp.experts.254.up_proj.weight_scale_inv       | torch.Size([16, 56])
model.layers.3.mlp.experts.255.down_proj.weight               | torch.Size([7168, 2048])
model.layers.3.mlp.experts.255.down_proj.weight_scale_inv     | torch.Size([56, 16])
model.layers.3.mlp.experts.255.gate_proj.weight               | torch.Size([2048, 7168])
model.layers.3.mlp.experts.255.gate_proj.weight_scale_inv     | torch.Size([16, 56])
model.layers.3.mlp.experts.255.up_proj.weight                 | torch.Size([2048, 7168])
model.layers.3.mlp.experts.255.up_proj.weight_scale_inv       | torch.Size([16, 56])
model.layers.3.mlp.gate.e_score_correction_bias               | torch.Size([256])
model.layers.3.mlp.gate.weight                                | torch.Size([256, 7168])
model.layers.3.mlp.shared_experts.down_proj.weight            | torch.Size([7168, 2048])
model.layers.3.mlp.shared_experts.down_proj.weight_scale_inv  | torch.Size([56, 16])
model.layers.3.mlp.shared_experts.gate_proj.weight            | torch.Size([2048, 7168])
model.layers.3.mlp.shared_experts.gate_proj.weight_scale_inv  | torch.Size([16, 56])
model.layers.3.mlp.shared_experts.up_proj.weight              | torch.Size([2048, 7168])
model.layers.3.mlp.shared_experts.up_proj.weight_scale_inv    | torch.Size([16, 56])
model.layers.3.post_attention_layernorm.weight                | torch.Size([7168])
model.layers.3.self_attn.kv_a_layernorm.weight                | torch.Size([512])
model.layers.3.self_attn.kv_a_proj_with_mqa.weight            | torch.Size([576, 7168])
model.layers.3.self_attn.kv_a_proj_with_mqa.weight_scale_inv  | torch.Size([5, 56])
model.layers.3.self_attn.kv_b_proj.weight                     | torch.Size([32768, 512])
model.layers.3.self_attn.kv_b_proj.weight_scale_inv           | torch.Size([256, 4])
model.layers.3.self_attn.o_proj.weight                        | torch.Size([7168, 16384])
model.layers.3.self_attn.o_proj.weight_scale_inv              | torch.Size([56, 128])
model.layers.3.self_attn.q_a_layernorm.weight                 | torch.Size([1536])
model.layers.3.self_attn.q_a_proj.weight                      | torch.Size([1536, 7168])
model.layers.3.self_attn.q_a_proj.weight_scale_inv            | torch.Size([12, 56])
model.layers.3.self_attn.q_b_proj.weight                      | torch.Size([24576, 1536])
model.layers.3.self_attn.q_b_proj.weight_scale_inv            | torch.Size([192, 12])


model.layers.61.eh_proj.weight                                | torch.Size([7168, 14336])
model.layers.61.embed_tokens.weight                           | torch.Size([129280, 7168])
model.layers.61.enorm.weight                                  | torch.Size([7168])
model.layers.61.hnorm.weight                                  | torch.Size([7168])
{...}一直到model.layers.61都和model.layers.3一样
model.layers.61.shared_head.head.weight                       | torch.Size([129280, 7168])
model.layers.61.shared_head.norm.weight                       | torch.Size([7168])


model.norm.weight                                             | torch.Size([7168])
